variable,example,sources,N,variable_full,variable_type,notes,variable_original
result_id,"2089020, 2089051, 2249019",,,EPA Result ID,identifier,"",
cas,"116-06-3, 17804-35-2, 26225-79-6",ep,574745,CAS,identifier,"",
casnr,"116063, 17804352, 26225796",ep,574745,CASNR,identifier,"",
inchikey,QGLZXHRNAYXIBU-WEVVVXLNSA-N,"pc, NA","519966, 54779",InChIKey,identifier,"",
comp_name,"aldicarb, benomyl, ethofumesate","pp, pc, ep","446064, 73967, 54714",,,,
value_fin,"5e+07, 3e+07, 2e+07",,,Result concentration,test,"",
unit_fin,"g/m2, g/l, NA/m2",,,Result concentration unit,test,"",
dur_fin,"5376, 2688, 672",,,Test duration,test,"",
taxon,"Acari, Acipenseriformes, Actinedida",ep,574745,Test taxon,test,"",
tes_conc_type,"A, F, T",,,Concentration type,test,"",
tes_endpoint,"NOEL, LOEL, LC50",,,Endpoint,test,"",
tes_endpoint_grp,"NOEX, LOEX, XX50",,,,,,
tes_effect,"POP, MOR, ENZ",,,Effect,test,"",
tes_exposure_type,"EN, DA, S",,,Exposure type,test,"",
cgr_fungicide,"NA, 1","NA, aw, eu, cs","486353, 45545, 24362, 18485",,,,
cgr_herbicide,"NA, 1","NA, aw, eu, cs","446932, 91947, 33353, 2513",,,,
cgr_insecticide,"1, NA","NA, aw, eu, cs","404281, 91151, 72772, 6541",is insecticide,compound,"",
cgr_molluscicide,"NA, 1","NA, aw, eu","543481, 31218, 46",is molluscicide,compound,"",
cgr_rodenticide,"NA, 1","NA, aw, cs, eu","569195, 4121, 1149, 280",is rodenticide,compound,"",
cgr_repellent,"NA, 1","NA, aw, eu","567542, 6930, 273",is repellent,compound,"",
cgr_metal,"NA, 1","NA, ep","478270, 96475",,,,
tax_family,"NA, Acanthaceae, Acanthamoebidae",,,taxonomic level,organism,"",
tax_genus,"NA, Acineria, Acremonium",,,taxonomic level,organism,"",
tax_order,"subclass Acari, Acipenseriformes, Actinedida",,,taxonomic level,organism,"",
tax_class,"Arachnida, Actinopterygii, Lobosa",,,taxonomic level,organism,"",
tax_superclass,"NA, Osteichthyes, Rhizopoda",,,taxonomic level,organism,"",
tax_phylum,"NA, Dinoflagellata",,,taxonomic level,organism,"",
tax_subphylum_div,"Chelicerata, Vertebrata, Sarcodina",,,taxonomic level,organism,"",
tax_phylum_division,"Arthropoda, Chordata, Protozoa",,,taxonomic level,organism,"",
tax_kingdom,"Animalia, Fungi, Chromista",,,taxonomic level,organism,"",
tax_common_name,"Mite Subclass, Paddlefish, Sturgeon Order, Mite Order",,,common name,organism,"",
tax_convgroup,"NA, Nematoda, Algae",,,taxonomic level,organism,self defined,
tax_invertebrate,"Makro Invertebrates, NA, Mikro Invertebrates",,,taxonomic level,organism,"",
tax_troph_lvl,"heterotroph, autotroph, mixotroph",,,trophic level,organism,"",
hab_marin,"NA, 1, 0","wo, NA, ep, gb","275324, 200499, 59533, 39389",is marine,organism,"",
hab_brack,"NA, 1, 0","wo, NA, gb, ep","294725, 275336, 4444, 240",is brackish,organism,"",
hab_fresh,"NA, 1, 0","ep, NA, wo, gb","267216, 141265, 104497, 61767",is freshwater,organism,"",
hab_terre,"1, NA, 0","wo, NA, ep, gb","273165, 150560, 104830, 46190",is terrestrial,organism,"",
reg_africa,"NA, 1","NA, gb","500023, 74722",occurs in Africa,organism,"",
reg_america_north,"NA, 1","NA, gb","330604, 244141",occurs in North America,organism,"",
reg_america_south,"NA, 1","NA, gb","483590, 91155",occurs in South America,organism,"",
reg_asia,"NA, 1","NA, gb","483590, 91155",occurs in Asia,organism,"",
reg_europe,"NA, 1","NA, gb","483590, 91155",occurs in Europe,organism,"",
reg_oceania,"NA, 1","NA, gb","483590, 91155",occurs in Oceania,organism,"",
chck_solub_wat,"FALSE, NA, TRUE",,,,,,
ref_num,"70976, 168501, 104005",,,,,,
ref_title,"",,,,,,
ref_author,"",,,,,,
ref_publ_year,"1987, 1985, 1998",,,,,,
comp_solub,,"pp, NA","444246, 130499",,,,
