variable_id,subst_name,casnr,value,source,psm_type
63,"2,4-D",94757,148281,malaj,herbicide
64,"2,4-DB",94826,25000,malaj,herbicide
66,"2,4-Dichlorphenol",120832,2600,malaj,metabolite
70,"2,4,5-T",93765,5000,malaj,herbicide
76,"2,6-Dichlorobenzamid",2008584,180000,malaj,metabolite
86,3-Hydroxy Carbofuran,16655826,293.4435216674,chemprop,metabolite
109,"4,6-Dinitro-o-Cresol",534521,3200,malaj,insecticide
115,Acetochlor,34256821,8600,malaj,herbicide
116,Acetochlorsäure,194992444,,none,metabolite
117,Acetochlorsulfonsäure,187022113,139523.678933724,chemprop,metabolite
118,Aclonifen,74070465,1200,ppdb,herbicide
143,"Atrazin, 2-Hydroxy",2163680,36738.1270632128,chemprop,metabolite
120,Alachlor,15972608,10000,malaj,herbicide
122,Aldicarb,116063,339.5248454387,epa,insecticide
123,Aldrin,309002,28,malaj,insecticide
125,Ametryn,834128,28000,malaj,herbicide
131,AMPA,1066519,,none,metabolite
145,Azinphos-ethyl,2642719,4,epa,insecticide
147,Azoxystrobin,131860338,254.4742303588,epa,fungicide
144,Avermectin B1a,71751412,,none,insecticide
151,Benalaxyl,71626114,590,ppdb,fungicide
180,Boscalid,188425856,5330,ppdb,fungicide
152,Bensulfuron-methyl,83055996,130000,ppdb,herbicide
153,Bentazon,25057890,125000,malaj,herbicide
166,Bifenox,42576023,350,epa,herbicide
181,Bromacil,314409,121000,malaj,herbicide
185,Bromocyclen,1715408,700,ppdb,insecticide
1142,oxi-Chlordan,27304138,1300,epa,metabolite
186,Bromoxynil,1689845,12500,malaj,herbicide
203,Chlordan,57749,98.4,malaj,insecticide
244,Demeton-S,126750,22.074539641,chemprop,insecticide
206,Chlorfenvinphos,470906,0.25,malaj,insecticide
208,Chloridazon,1698608,132000,malaj,herbicide
212,Chloroxuron,1982474,2950,epa,herbicide
215,Chlortoluron,15545489,67000,ppdb,herbicide
226,Clomazon,81777891,5200,epa,herbicide
227,Clopyralid,1702176,225000,malaj,herbicide
228,Clothianidin,210880925,119000,epa,insecticide
232,Coumaphos,56724,0.192,epa,insecticide
233,Cyanazin,21725462,49000,malaj,herbicide
234,Cyazofamid,120116883,429.1929905259,epa,fungicide
243,Demeton-O,298033,,none,insecticide
242,Demeton (O+S),8065483,,none,insecticide
238,Cyprodinil,121552612,32,epa,fungicide
245,Demeton-S-methyl,919868,23,malaj,insecticide
246,Demeton-S-methylsulfon,17040196,259,malaj,insecticide
