"result_id","obs_duration_mean","obs_duration_unit","obs_duration_mean2","obs_duration_unit2","obs_duration_mean2_manual","obs_duration_unit2_manual"
1129812,1,"BLM",1,"BLM",1,"BLM"
1092847,1,"brd",1,"brd",1,"brd"
1073508,1,"brs",1,"brs",1,"brs"
1131710,30,"cd",30,"cd",30,"cd"
761778,2,"crs",2,"crs",2,"crs"
2355026,2,"cs",2,"cs",2,"cs"
2399453,7,"d",168,"h",168,"h"
2156696,1,"dapu",24,"h",24,"h"
728526,1,"dbh",24,"h",24,"h"
2308821,336,"dd",8064,"h",336,"dd"
1081203,19,"dge",456,"h",456,"h"
2426714,1,"dla",24,"h",24,"h"
1146050,10,"dpe",240,"h",240,"h"
2302143,18,"dpel",432,"h",432,"h"
2425222,120,"dpf",2880,"h",2880,"h"
1154680,20,"dpfl",480,"h",480,"h"
2468699,21,"dpgm",504,"h",504,"h"
795744,100.5,"dph",2412,"h",2412,"h"
1008707,50,"dphv",1200,"h",1200,"h"
772439,1,"dpm",24,"h",24,"h"
2480496,150,"dpmm",150,"dpmm",3600,"h"
1154543,28,"dpn",672,"h",672,"h"
1173949,26,"dpo",624,"h",624,"h"
1158177,54,"dpp",1296,"h",1296,"h"
748608,10,"dps",240,"h",240,"h"
803432,45,"dpu",1080,"h",1080,"h"
2289998,0,"dpys",0,"h",0,"h"
2401551,2,"el",2,"el",2,"el"
2383046,1,"fry",1,"fry",1,"fry"
2073104,55,"gds",55,"gds",55,"gds"
2009006,3,"ge",3,"ge",3,"ge"
796101,29,"go",29,"go",29,"go"
1072875,1,"gs",1,"gs",1,"gs"
784903,96,"h",96,"h",96,"h"
746122,48,"hbf",48,"h",48,"h"
2048876,24,"hpe",24,"h",24,"h"
2298391,168,"hpel",168,"h",168,"h"
2171485,144,"hpf",144,"h",144,"h"
2450708,48,"hph",48,"h",48,"h"
2267924,24,"hpp",24,"h",24,"h"
194957,72,"ht",72,"ht",72,"ht"
2359922,1,"hv",1,"hv",1,"hv"
2482749,5,"ins",5,"ins",5,"ins"
704840,1,"it",1,"it",1,"it"
2250079,2,"lf",2,"lf",2,"lf"
2057970,2,"ls",2,"ls",2,"ls"
1011967,3,"LSI",3,"LSI",3,"LSI"
1221972,1,"ma",1,"ma",1,"ma"
1047213,15,"mi",0.2500005,"h",0.2500005,"h"
1096871,12,"mo",8760,"h",8760,"h"
2246435,6,"mopf",4380,"h",4380,"h"
2461649,6,"moph",4380,"h",4380,"h"
2269850,9,"mopm",6570,"h",6570,"h"
2192945,40,"mpf",0.666668,"h",0.666668,"h"
2244304,19296,"mph",321.6006432,"h",321.6006432,"h"
2478724,4,"NA",4,"NA",4,"NA"
2224770,45,"nf",45,"nf",45,"nf"
1083881,30,"s",0.0083334,"h",0.0083334,"h"
760553,45,"stg",45,"stg",45,"stg"
2267856,4,"tls",4,"tls",4,"tls"
1050511,2,"vg",2,"vg",2,"vg"
2212561,4,"wk",672,"h",672,"h"
2250970,10,"wkpm",1680,"h",1680,"h"
1037051,2,"wpe",336,"h",336,"h"
735323,2,"wph",336,"h",336,"h"
2212428,19,"wpp",3192,"h",3192,"h"
2341091,1,"yr",8760,"h",8760,"h"
2218340,73,"ZGS",73,"ZGS",73,"ZGS"
2312509,3,"zm",3,"zm",3,"zm"
