result_id,test_id,test_cas,molecularweight,conc1_mean,conc1_unit,conc1_remove,conc1_unit_type,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,conc1_mean4,conc1_unit4,conc1_mean2_manual,conc1_unit2_manual,conc1_mean4_manual,conc1_unit4_manual,chck_mean2,chck_mean2_fuzzy,chck_unit2,chck_mean4,chck_unit4
5667,1038212,1746016,322,0.0063,ug/tank/wk,TRUE,mass/noscience/time,3.75e-11,g/tank/h,2.52e-08,g/tank,2.52e-08,g/tank,3.75e-11,g/tank/h,3.75e-11,g/tank/h,FALSE,TRUE,TRUE,FALSE,TRUE
7546,1104988,52675,149.21,150000*,ug/100g,FALSE,mass/mass,0.0015,g/g,0.0015,g/g,0.0015,g/g,0.0015,g/g,0.0015,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
25662,1010184,50293,354.5,18.0,AI ppb,FALSE,fraction,18,ppb,18,ppb,18,ppb,18,ppb,18,ppb,TRUE,TRUE,TRUE,TRUE,TRUE
28662,,,,,,,,,,,,,,,mBq,,mBq,,TRUE,,,
40084,1161005,108952,94.11,0.002,uCi/g,FALSE,radioactivity/mass,74,Bq/g,74,Bq/g,74,Bq/g,74,Bq/g,74,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
40798,1121885,141537,68.007,300,uCi/3.6mg,FALSE,radioactivity/mass,3083333333.33334,Bq/g,3083333333.33334,Bq/g,3083333333.33334,Bq/g,3083333333.33334,Bq/g,3083333333.33334,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
40799,1121886,62759,74.08,100,uCi/30mg,FALSE,radioactivity/mass,123333333.333333,Bq/g,123333333.333333,Bq/g,123333333.333333,Bq/g,123333333.333333,Bq/g,123333333.333333,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
42413,1175964,63252,201.22,100,kg/ac,FALSE,mass/area,24.7104369225325,g/m2,24.7104369225325,g/m2,24.7104369225325,g/m2,24.7104369225325,g/m2,24.7104369225325,g/m2,TRUE,TRUE,TRUE,TRUE,TRUE
45060,1115028,60117,225.29,30,% mg,FALSE,fraction,3e+08,ppb,3e+08,ppb,3e+08,ppb,,,,,,TRUE,,,
48162,1113921,10099748,331,1.7,ug/100g/d,FALSE,mass/mass/time,7.08333333333334e-10,g/g/h,5.95000000000001e-07,g/g,5.95000000000001e-07,g/g,7.08333333333334e-10,g/g/h,7.08333333333334e-10,g/g/h,FALSE,TRUE,TRUE,FALSE,TRUE
51768,1185275,32598133,292,0.29,mg/kg/L,FALSE,mass/mass/volume,2.9e-07,g/g/l,2.9e-07,g/g/l,2.9e-07,g/g/l,2.9e-07,g/g/l,2.9e-07,g/g/l,TRUE,TRUE,TRUE,TRUE,TRUE
55416,1106332,88302,207.11,1.17,ul/L,FALSE,volume/volume,1.17e-06,l/l,1.17e-06,l/l,1.17e-06,l/l,1.17e-06,l/l,1.17e-06,l/l,TRUE,TRUE,TRUE,TRUE,TRUE
64318,1122806,1344098,122.0632,210,ug-atoms/L,FALSE,mass/volume,0.00021,g/l,0.00021,g/l,0.00021,g/l,210,ug-atoms/l,210,ug-atoms/l,FALSE,TRUE,FALSE,FALSE,FALSE
68525,1040797,76744,226.27,3,ml/25 ml,FALSE,volume/volume,0.12,l/l,0.12,l/l,0.12,l/l,0.12,l/l,0.12,l/l,TRUE,TRUE,TRUE,TRUE,TRUE
79308,1050001,14124675,126.97,66,kBq/ml,FALSE,radioactivity/volume,6.6e+07,Bq/l,6.6e+07,Bq/l,6.6e+07,Bq/l,6.6e+07,Bq/l,6.6e+07,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
80548,1044443,3383968,466.5,485,g/km,FALSE,mass/length,0.485,g/m,0.485,g/m,0.485,g/m,0.485,g/m,0.485,g/m,TRUE,TRUE,TRUE,TRUE,TRUE
85423,1200216,11097691,326.4,1156,ng/fish,TRUE,mass/noscience,1.156e-06,g/fish,1.156e-06,g/fish,1.156e-06,g/fish,1.16e-06,g/fish,1.16e-06,g/fish,FALSE,TRUE,TRUE,FALSE,TRUE
87669,1139142,14913292,,0.85,pCi/L,FALSE,radioactivity/volume,0.03145,Bq/l,0.03145,Bq/l,0.03145,Bq/l,0.03145,Bq/l,0.03145,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
88612,1055010,10099748,331,1000*,ug/L,FALSE,mass/volume,0.001,g/l,0.001,g/l,0.001,g/l,0.001,g/l,0.001,g/l,TRUE,TRUE,TRUE,TRUE,TRUE
91787,1130001,7440359,243.06138,175,pCi/ml,FALSE,radioactivity/volume,6475,Bq/l,6475,Bq/l,6475,Bq/l,6475,Bq/l,6475,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
92161,1139262,60571,380.90752,20,ug/50ul,FALSE,mass/volume,0.4,g/l,0.4,g/l,0.4,g/l,0.4,g/l,0.4,g/l,TRUE,TRUE,TRUE,TRUE,TRUE
94018,1140001,50000,30.026,50,ul/20ml,FALSE,volume/volume,0.0025,l/l,0.0025,l/l,0.0025,l/l,0.0025,l/l,0.0025,l/l,TRUE,TRUE,TRUE,TRUE,TRUE
94764,1137995,64175,46.07,0.50,% g,FALSE,fraction,5e+06,ppb,5e+06,ppb,5e+06,ppb,,,,,,TRUE,,,
95043,1124484,10325947,236.421,2,ueq/L,TRUE,noscience/volume,2e-06,eq/l,2e-06,eq/l,2e-06,eq/l,2e-06,eq/l,2e-06,eq/l,TRUE,TRUE,TRUE,TRUE,TRUE
98442,1142557,779022,192.25,0.65,mmol/m3,FALSE,mol/volume,0.00065,mol/m3,0.00065,mol/m3,0.00065,mol/m3,0.00065,mol/m3,0.00065,mol/m3,TRUE,TRUE,TRUE,TRUE,TRUE
100640,1149191,67458,225.16,0.1,mg/100g/d,FALSE,mass/mass/time,4.16666666666667e-08,g/g/h,1e-05,g/g,1e-05,g/g,4.16666666666667e-08,g/g/h,4.16666666666667e-08,g/g/h,TRUE,TRUE,TRUE,TRUE,TRUE
101742,1110378,56235,153.8,0.1,ml/100g,FALSE,volume/mass,1e-06,l/g,1e-06,l/g,1e-06,l/g,1e-06,l/g,1e-06,l/g,TRUE,TRUE,TRUE,TRUE,TRUE
102155,1039967,91203,128.17,100,% sat,FALSE,fraction,1e+09,ppb,1e+09,ppb,1e+09,ppb,,,,,,TRUE,,,
104377,1151151,58899,290.82804,62.0,Ci/mol,FALSE,radioactivity/mol,2.294e+12,Bq/mol,2.294e+12,Bq/mol,2.294e+12,Bq/mol,2.294e+12,Bq/mol,2.294e+12,Bq/mol,TRUE,TRUE,TRUE,TRUE,TRUE
104423,1077945,1305788,56.0774,3.3,kg,FALSE,mass,3300,g,3300,g,3300,g,3300,g,3300,g,TRUE,TRUE,TRUE,TRUE,TRUE
105046,1152474,50328,252.3,0.4,mg/70g,FALSE,mass/mass,5.71428571428572e-06,g/g,5.71428571428572e-06,g/g,5.71428571428572e-06,g/g,5.71428571428572e-06,g/g,5.71428571428572e-06,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
106139,1038755,7775113,161.97,0.00003,mol/L,FALSE,mol/volume,3e-05,mol/l,3e-05,mol/l,0.0048591,g/l,3e-05,mol/l,0.0048591,g/l,TRUE,TRUE,TRUE,FALSE,FALSE
108364,1047650,58899,290.82804,5.9,uCi/mg,FALSE,radioactivity/mass,218300000,Bq/g,218300000,Bq/g,218300000,Bq/g,218300000,Bq/g,218300000,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
108421,1049673,7440075,244.0642,3.7,kBq/L,FALSE,radioactivity/volume,3700,Bq/l,3700,Bq/l,3700,Bq/l,3700,Bq/l,3700,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
109251,1139416,92524,154.21,5,mCi/mmol,FALSE,radioactivity/mol,1.85e+11,Bq/mol,1.85e+11,Bq/mol,1.85e+11,Bq/mol,1.85e+11,Bq/mol,1.85e+11,Bq/mol,TRUE,TRUE,TRUE,TRUE,TRUE
110581,1044462,72435,345.6,3.1,L/km,FALSE,volume/length,0.0031,l/m,0.0031,l/m,0.0031,l/m,0.0031,l/m,0.0031,l/m,TRUE,TRUE,TRUE,TRUE,TRUE
113454,1002159,50328,252.3,117,uCi/ul,FALSE,radioactivity/volume,4.329e+12,Bq/l,4.329e+12,Bq/l,4.329e+12,Bq/l,4.329e+12,Bq/l,4.329e+12,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
116735,1064948,7440020,58.693,100,g/ug,FALSE,mass/mass,1e+08,g/g,1e+08,g/g,1e+08,g/g,1e+08,g/g,1e+08,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
116776,1008215,29082744,379.7,50,uCi/kg,FALSE,radioactivity/mass,1850,Bq/g,1850,Bq/g,1850,Bq/g,1850,Bq/g,1850,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
116927,1065057,7758987,159.61,5,g/fish,TRUE,mass/noscience,5,g/fish,5,g/fish,5,g/fish,5000,g/fish,5000,g/fish,FALSE,TRUE,TRUE,FALSE,TRUE
117026,1048269,7440531,151.96,37,kBq/dm3,FALSE,radioactivity/volume,3.7e+07,Bq/m3,3.7e+07,Bq/m3,3.7e+07,Bq/m3,3.7e+07,Bq/m3,3.7e+07,Bq/m3,TRUE,TRUE,TRUE,TRUE,TRUE
118304,1175959,58899,290.82804,0.03,lb/ft2,FALSE,mass/area,146.477502691066,g/m2,146.477502691066,g/m2,146.477502691066,g/m2,146.477502691066,g/m2,146.477502691066,g/m2,FALSE,TRUE,TRUE,FALSE,TRUE
119571,1102583,56235,153.8,8,ul/g,FALSE,volume/mass,8e-06,l/g,8e-06,l/g,8e-06,l/g,8e-06,l/g,8e-06,l/g,TRUE,TRUE,TRUE,TRUE,TRUE
124379,1116340,8018017,541.1,10,mg/fish,TRUE,mass/noscience,0.01,g/fish,0.01,g/fish,0.01,g/fish,0.01,g/fish,0.01,g/fish,TRUE,TRUE,TRUE,TRUE,TRUE
125913,1135084,7440268,97.90721,4.3,pmol/L,FALSE,mol/volume,4.3e-12,mol/l,4.3e-12,mol/l,4.21001003e-10,g/l,4.3e-12,mol/l,4.21001003e-10,g/l,TRUE,TRUE,TRUE,FALSE,FALSE
127647,1053986,2385855,545.5,0.0129,g/ft2,FALSE,mass/area,0.138858988159311,g/m2,0.138858988159311,g/m2,0.138858988159311,g/m2,0.138858988159311,g/m2,0.138858988159311,g/m2,FALSE,TRUE,TRUE,FALSE,TRUE
133129,1126927,7173979,,187,nM/L,FALSE,mol/volume/volume,1.87e-07,mol/l/l,1.87e-07,mol/l/l,1.87e-07,mol/l/l,1.87e-07,mol/l/l,1.87e-07,mol/l/l,TRUE,TRUE,TRUE,TRUE,TRUE
134534,1139098,55285148,380.5,0.2,AI %/786 L,FALSE,fraction/volume,2544.52926208652,ppb/l,2544.52926208652,ppb/l,2544.52926208652,ppb/l,,,,,,TRUE,,,
135263,1116568,8068448,,10,ppm/organi,TRUE,fraction/noscience,10000,ppb/organism,10000,ppb/organism,10000,ppb/organism,10000,ppb/organism,10000,ppb/organism,TRUE,TRUE,TRUE,TRUE,TRUE
136088,1056708,7647178,168.36,74,Bq/ml,FALSE,radioactivity/volume,74000,Bq/l,74000,Bq/l,74000,Bq/l,74000,Bq/l,74000,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
137405,1001810,7646857,136.3,4.9,cpm/L,TRUE,noscience/volume,4.9,cpm/l,4.9,cpm/l,4.9,cpm/l,4.9,cpm/l,4.9,cpm/l,TRUE,TRUE,TRUE,TRUE,TRUE
137423,1057565,2921882,350.6,45,gal,FALSE,volume,170.34353028,l,170.34353028,l,170.34353028,l,170.34353028,l,170.34353028,l,TRUE,TRUE,TRUE,TRUE,TRUE
138752,1044994,37223737,,1,gal/gal,FALSE,volume/volume,1,l/l,1,l/l,1,l/l,1,l/l,1,l/l,TRUE,TRUE,TRUE,TRUE,TRUE
138922,1113089,11097691,326.4,50,mg/g/d,FALSE,mass/mass/time,0.00208333333333334,g/g/h,0.850000000000001,g/g,0.850000000000001,g/g,0.002083333333333,g/g/h,0.002083333333333,g/g/h,FALSE,TRUE,TRUE,FALSE,TRUE
139639,1053115,7440462,132.905452,160,Bq/g,FALSE,radioactivity/mass,160,Bq/g,160,Bq/g,160,Bq/g,160,Bq/g,160,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
143226,1164185,94757,221.03,1168,dpm/ml,FALSE,radioactivity/volume,19466.67056,Bq/l,19466.67056,Bq/l,19466.67056,Bq/l,19466.6666667056,Bq/l,19466.6666667056,Bq/l,FALSE,TRUE,TRUE,FALSE,TRUE
144116,1158955,688733,291.06072,4.80,ug/g/d,FALSE,mass/mass/time,2e-07,g/g/h,,g/g,,g/g,2e-07,g/g/h,2e-07,g/g/h,FALSE,TRUE,TRUE,FALSE,TRUE
152836,1192520,7440246,87.6,37000,Bq/L,FALSE,radioactivity/volume,37000,Bq/l,37000,Bq/l,37000,Bq/l,37000,Bq/l,37000,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
156085,1194816,1746016,322,0.084,nmol/kg bdwt,FALSE,mol/mass,8.4e-14,mol/g,8.4e-14,mol/g,2.7048e-11,g/g,8.4e-14,mol/g,2.7048e-11,g/g,TRUE,TRUE,TRUE,FALSE,FALSE
157626,1135855,77474,272.8,38.35,ug/fish,TRUE,mass/noscience,3.835e-05,g/fish,3.835e-05,g/fish,3.835e-05,g/fish,3.835e-05,g/fish,3.835e-05,g/fish,TRUE,TRUE,TRUE,TRUE,TRUE
158609,1063543,7773015,125.844,48.33,mCi/mg,FALSE,radioactivity/mass,1.78821e+12,Bq/g,1.78821e+12,Bq/g,1.78821e+12,Bq/g,1.78821e+12,Bq/g,1.78821e+12,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
158625,1042642,7773015,125.844,56.39,cpm/ml,TRUE,noscience/volume,56390,cpm/l,56390,cpm/l,56390,cpm/l,56390,cpm/l,56390,cpm/l,TRUE,TRUE,TRUE,TRUE,TRUE
161808,1193783,7439921,207,180,uBq,FALSE,radioactivity,0.00018,Bq,0.00018,Bq,0.00018,Bq,0.00018,Bq,0.00018,Bq,TRUE,TRUE,TRUE,TRUE,TRUE
162606,1187328,35694043,360.9,893,ug/kg LD,FALSE,mass/mass,8.93e-07,g/g,8.93e-07,g/g,8.93e-07,g/g,8.93e-07,g/g,8.93e-07,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
164635,1191856,57465288,326.4,0.2,PIg/L,TRUE,noscience/volume,0.2,PIg/l,0.2,PIg/l,0.2,PIg/l,0.2,PIg/l,0.2,PIg/l,TRUE,TRUE,TRUE,TRUE,TRUE
