conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
,ug/l,yes,1,ug/l,mass/volume,88612,10099748,331,254496,1000*,ug/L,1000,ug/l,1000,ug/l,
,mg/l,yes,1000,ug/l,mass/volume,168785,536903,123.15,118090,0.11,mg/L,110,ug/l,110,ug/l,
,ppm,yes,1000,ppb,fraction,2126050,114261,209.24,80979,80,ppm,80000,ppb,80000,ppb,
AI ,kg/ha,yes,0.1,g/m2,mass/area,1059003,51218452,283.79,38488,5,AI kg/ha,0.5,g/m2,0.5,g/m2,
,kg/ha,yes,0.1,g/m2,mass/area,798810,99129212,,29621,0.03,kg/ha,0.003,g/m2,0.003,g/m2,
,umol/l,yes,1E-06,mol/l,mol/volume,773066,104405,220.35,27430,4.05,uM,892.4175,ug/l,892.4175,ug/l,
,mg/kg,yes,1,mg/kg,mass/mass,1039743,7718549,129.6,27406,18.8,mg/kg,18.8,mg/kg,18.8,mg/kg,
AI ,lb/acre,yes,0.112084667279431,g/m2,mass/area,2109679,2164172,232.2,26807,0.051,AI lb/acre,0.005716318031251,g/m2,0.005716318031251,g/m2,
,%,yes,10000000,ppb,fraction,2227707,67641,58.08,20971,0.1,%,1000000,ppb,0.1,%,
bdwt,mg/kg,yes,1,mg/kg,mass/mass,775822,91203,128.17,16614,50,mg/kg bdwt,50,mg/kg,50,mg/kg,
AI ,g/ha,yes,0.0001,g/m2,mass/area,1012510,78587050,352.9,16562,150,AI g/ha,0.015,g/m2,0.015,g/m2,
,ppb,yes,1,ppb,fraction,239960,7440020,58.693,13936,100,ppb,100,ppb,100,ppb,
AI ,mg/l,yes,1000,ug/l,mass/volume,1080375,82657043,422.9,11855,6.37,AI mg/L,6370,ug/l,6370,mg/l,
bdwt,mg/kg/d,yes,1,mg/kg/d,mass/mass/time,206500,7758954,278,11223,15,mg/kg bdwt/d,15,mg/kg/d,15,mg/kg/d,
,ng/l,yes,0.001,ug/l,mass/volume,2074585,15307865,296.1,10912,10,ng/L,0.01,ug/l,0.01,ug/l,
,mmol/l,yes,0.001,mol/l,mol/volume,1153817,1310732,39.997,10752,0.1,mM,3999.7,ug/l,3999.7,ug/l,
AI ,ug/l,yes,1,ug/l,mass/volume,2262868,138261413,255.66,9953,0.305,AI ug/L,0.305,ug/l,0.305,ug/l,
,lb/acre,yes,0.112084667279431,g/m2,mass/area,2453697,66332965,323.31,9387,1,lb/acre,0.112084667279431,g/m2,0.112084667279431,g/m2,
,mol/l,yes,1,mol/l,mol/volume,1128312,51218452,283.79,9309,1E-06,M,283.79,ug/l,283.79,ug/l,
,mg/kg/d,yes,1,mg/kg/d,mass/mass/time,1042482,7681494,41.988172,8860,5,mg/kg/d,5,mg/kg/d,5,mg/kg/d,
,ug/ml,yes,1000,ug/l,mass/volume,2248365,6164983,196.67,7908,10,ug/ml,10000,ug/l,10000,ug/l,
soil,mg/kg,yes,1,mg/kg,mass/mass,1065969,87392129,,6186,2,mg/kg soil,2,mg/kg,2,mg/kg,
food,ppm,yes,1000,ppb,fraction,2287429,7758987,159.61,5098,720,ppm food,720000,ppb,720000,ppb,
,nmol/l,yes,1E-09,mol/l,mol/volume,2226852,50282,272.4,5049,1,nM,0.2724,ug/l,0.2724,ug/l,
,ug/g,yes,1,mg/kg,mass/mass,168536,1118463,,4869,10,ug/g,10,mg/kg,10,mg/kg,
,l/ha,yes,0.1,ml/m2,volume/area,2345310,759944,189.32,4702,8,L/ha,0.8,ml/m2,0.8,ml/m2,
,umol/l,yes,1E-06,mol/l,mol/volume,2229405,152114,491.1,4352,10,umol/L,4911,ug/l,4911,ug/l,
,ug/org,no,,,mass/organism,1219977,64902723,357.77,4239,10,ug/org,10,ug/org,10,ug/org,
AI ,ppm,yes,1000,ppb,fraction,1145750,2921882,350.6,4186,658.3,AI ppm,658300,ppb,658300,ppb,
,g/ha,yes,0.0001,g/m2,mass/area,2117263,148477718,411.3,4142,568.6,g/ha,0.05686,g/m2,0.05686,g/m2,
ai ,g/l,yes,1000000,ug/l,mass/volume,2267424,138261413,255.66,4045,0.7,ai g/L,700000,ug/l,700000,ug/l,
,g/l,yes,1000000,ug/l,mass/volume,1172177,8002139,,4031,30,g/L,30000000,ug/l,30000000,ug/l,
,ml/l,yes,1000,ul/l,volume/volume,1138853,941980,170.21,3539,150,ml/L,150000,ul/l,150000,ul/l,
dry,mg/kg,yes,1,mg/kg,mass/mass,2371433,71751412,1732.1,3430,100,mg/kg dry soil,100,mg/kg,100,mg/kg,
,ul/l,yes,1,ul/l,volume/volume,55416,88302,207.11,2900,1.17,ul/L,1.17,ul/l,1.17,ul/l,
AI ,%,yes,10000000,ppb,fraction,1177875,102851069,502.9,2893,10,AI %,100000000,ppb,10,%,
