no_tests;norman_ecotox_group;endpoint;duration;unit;convert;value
4;??;LC01;48;h;no;
4;??;LC50;48;h;no;
4;??;LOEC;180;d;no;
4;??;NOEC;180;d;no;
2;??;NOEC;60;d;no;
1;??;NR;180;d;no;
1;??;NR-LETH;11;d;no;
1;??;NR-LETH;12;d;no;
2;??;NR-LETH;60;d;no;
4;??;NR-ZERO;48;h;no;
3;Algae;BAF;10;d;no;
1;Algae;BAF;24;h;no;
5;Algae;BCF;0;mi;no;
26;Algae;BCF;10;d;no;
3;Algae;BCF;10;h;no;
2;Algae;BCF;100;d;no;
7;Algae;BCF;100;mi;no;
1;Algae;BCF;1050;d;no;
1;Algae;BCF;1140;d;no;
6;Algae;BCF;12;d;no;
51;Algae;BCF;12;h;no;
10;Algae;BCF;120;h;no;
50;Algae;BCF;120;mi;no;
1;Algae;BCF;1200;d;no;
2;Algae;BCF;127;d;no;
7;Algae;BCF;13;d;no;
1;Algae;BCF;131;d;no;
23;Algae;BCF;14;d;no;
3;Algae;BCF;140;d;no;
10;Algae;BCF;15;d;no;
33;Algae;BCF;15;mi;no;
13;Algae;BCF;16;d;no;
1;Algae;BCF;16;h;no;
213;Algae;BCF;180;mi;no;
8;Algae;BCF;20;d;no;
9;Algae;BCF;20;mi;no;
12;Algae;BCF;21;d;no;
1;Algae;BCF;210;mi;no;
13;Algae;BCF;22;d;no;
1;Algae;BCF;24;d;no;
272;Algae;BCF;24;h;no;
2;Algae;BCF;240;mi;no;
1;Algae;BCF;26;d;no;
4;Algae;BCF;27;d;no;
29;Algae;BCF;28;d;no;
1;Algae;BCF;28;h;no;
36;Algae;BCF;30;d;no;
11;Algae;BCF;30;mi;no;
2;Algae;BCF;300;mi;no;
1;Algae;BCF;31;d;no;
2;Algae;BCF;318;d;no;
8;Algae;BCF;32;d;no;
35;Algae;BCF;33;d;no;
1;Algae;BCF;330;d;no;
1;Algae;BCF;34;d;no;
4;Algae;BCF;34;h;no;
16;Algae;BCF;35;d;no;
1;Algae;BCF;36;d;no;
42;Algae;BCF;36;h;no;
2;Algae;BCF;40;d;no;
4;Algae;BCF;40;mi;no;
1;Algae;BCF;41;d;no;
6;Algae;BCF;42;d;no;
1;Algae;BCF;420;d;no;
1;Algae;BCF;44;h;no;
1;Algae;BCF;45.6;h;no;
1;Algae;BCF;46;d;no;
1;Algae;BCF;47;d;no;
2;Algae;BCF;48;d;no;
76;Algae;BCF;48;h;no;
5;Algae;BCF;49;d;no;
3;Algae;BCF;50;d;no;
1;Algae;BCF;50;mi;no;
1;Algae;BCF;56;d;no;
22;Algae;BCF;6;d;no;
10;Algae;BCF;6;h;no;
19;Algae;BCF;60;d;no;
2;Algae;BCF;60;h;no;
14;Algae;BCF;60;mi;no;
2;Algae;BCF;63;d;no;
1;Algae;BCF;67.2;h;no;
1;Algae;BCF;690;d;no;
66;Algae;BCF;7;d;no;
3;Algae;BCF;70;d;no;
1;Algae;BCF;70.8;h;no;
1;Algae;BCF;71.52;h;no;
1;Algae;BCF;72;d;no;
45;Algae;BCF;72;h;no;
1;Algae;BCF;720;d;no;
1;Algae;BCF;74;h;no;
1;Algae;BCF;75;d;no;
2;Algae;BCF;7.5;h;no;
1;Algae;BCF;780;d;no;
5;Algae;BCF;8;d;no;
