unit,prefix,word,multiplier,conv,unit_conv,type
fg,femto,gram,1E-15,yes,g,mass
pg,pico,gram,1E-12,yes,g,mass
ng,nano,gram,1E-09,yes,g,mass
ug,micro,gram,1E-06,yes,g,mass
mg,milli,gram,0.001,yes,g,mass
g,one,gram,1,yes,g,mass
kg,kilo,gram,1000,yes,g,mass
t,mega,gram,1000000,yes,g,mass
tons,mega,gram,1000000,yes,g,mass
pl,pico,liter,1E-12,yes,l,volume
nl,nano,liter,1E-09,yes,l,volume
ul,micro,liter,1E-06,yes,l,volume
ml,milli,liter,0.001,yes,l,volume
l,one,liter,1,yes,l,volume
hl,hecto,liter,100,yes,l,volume
bu,one,bushel,,no,,noscience
ppq,quadrillion,partsper,1E-06,yes,ppb,fraction
ppt,trillion,partsper,0.001,yes,ppb,fraction
ppb,billion,partsper,1,yes,ppb,fraction
ppm,million,partsper,1000,yes,ppb,fraction
no,one,number,,no,,amount
amol,atto,mol,1E-18,yes,mol,mol
fmol,femto,mol,1E-15,yes,mol,mol
pmol,pico,mol,1E-12,yes,mol,mol
nmol,nano,mol,1E-09,yes,mol,mol
umol,micro,mol,1E-06,yes,mol,mol
mmol,milli,mol,0.001,yes,mol,mol
mol,one,mol,1,yes,mol,mol
kmol,kilo,mol,1000,yes,mol,mol
nM,nano,mol,1E-09,yes,mol,mol
uM,micro,mol,1E-06,yes,mol,mol
mM,milli,mol,0.001,yes,mol,mol
M,one,mol,1,yes,mol,mol
yd,one,yard,0.9144,yes,m,length
ft,one,foot,0.3048,yes,m,length
cm,centi,meter,0.01,yes,m,length
mm,milli,meter,0.001,yes,m,length
m,one,meter,1,yes,m,length
neq,nano,equivalent,,no,,noscience
meq,milli,equivalent,,no,,noscience
ueq,micro,equivalent,,no,,noscience
mm2,milli,squaremeter,0.001,yes,m2,area
cm2,centi,squaremeter,0.01,yes,m2,area
m2,one,squaremeter,1,yes,m2,area
ha,one,hectare,10000,yes,m2,area
acre,one,acre,4050,yes,m2,area
ac,one,acre,4050,yes,m2,area
mi2,one,squaremile,2589988.110336,yes,m2,area
km2,kilo,squaremeter,1000000,yes,m2,area
ft2,one,squarefeet,0.0929,yes,m2,area
feddan,one,feddan,,no,,noscience
dn(Cyprus),one,donum,,no,,noscience
%,one,percent,10000000,yes,ppb,fraction
‰,one,permille,1000000,yes,ppb,fraction
d,one,day,24,yes,h,time
h,one,hour,1,yes,h,time
mi,one,minute,0.0166667,yes,h,time
wk,one,week,168,yes,h,time
yr,one,year,8760,yes,h,time
ft3,one,cubicfoot,0.02831658,yes,m3,volume
mm3,milli,cubic,1E-09,yes,m3,volume
cm3,centi,cubic,1E-06,yes,m3,volume
dm3,deci,cubic,0.001,yes,m3,volume
m3,one,cubic,1,yes,m3,volume
fl oz,one,fluid ounce,,no,,noscience
pt,one,pint,,no,,noscience
oz,one,ounce,,no,,noscience
gal,one,gallone,,no,,noscience
qt,one,quarts,,no,,noscience
lb,one,pound,453.592,yes,g,mass
psu,one,practical salinity unit,,no,,salinity
--,,no data,,no,,nodata
NR,,no data,,no,,nodata
eu,one,experimental unit,,no,,noscience
kBq,kilo,becquerel,1000,yes,Bq,radioactivity
Bq,one,becquerel,1,yes,Bq,radioactivity
mBq,milli,becquerel,0.001,yes,Bq,radioactivity
uBq,micro,becquerel,1E-06,yes,Bq,radioactivity
Ci,one,curie,37000000000,yes,Bq,radioactivity
mCi,milli,curie,37000000,yes,Bq,radioactivity
uCi,micro,curie,37000,yes,Bq,radioactivity
nCi,nano,curie,37,yes,Bq,radioactivity
icu,one,international chick units,,no,,noscience
iu,one,international units,,no,,noscience
fibers,one,fibers,,no,,noscience
kj,kilo,joule,,no,,energy
unit,,unit,,no,,noscience
org,,organism,,no,,organism
v,,volume,,no,,volume
% v/v,,percentage volume,10000000,yes,ppb,fraction
cwt,,hundred weight,,no,,noscience
w,,weight,,no,,noscience
% w/v,,percentage weight,10000000,yes,ppb,fraction
in dia,,inch diameter,,no,,noscience
egg,,egg,,no,,noscience
pellets,,pellets,,no,,noscience
bee,,bee,,no,,noscience
fish,,fish,,no,,noscience
u,,units,,no,,noscience
dpm,,disintegrations per minute,,no,,radioactivity
cwt,,hundredweight,,no,,noscience
sd,,seed,,no,,noscience
cntr,,container,,no,,noscience
plot,,plot,,no,,noscience
cpm,,counts per minute,,no,,counts
