taxon,taxon_rank,ecotox_grp,is_fungi,is_plant,is_fish,is_algae,,is_marine,is_fresh,is_terre
Ascomycota,phylum_division,Fungi,1,,,,,,,
Basidiomycota,phylum_division,Fungi,1,,,,,,,
Fungi,kingdom,Fungi,1,,,,,,,
Insecta,class,Insecta,,,,,,,,
Entognatha,class,Entognatha,,,,,,,,
Plantae,kingdom,Plantae,,1,,,,,,
Arachnida,class,Arachnida,,,,,,,,
Bryopsida,class,Plantae,,1,,,,,,
Magnoliopsida,class,Plantae,,1,,,,,,
Liliopsida,class,Plantae,,1,,,,,,
Pinopsida,class,Plantae,,1,,,,,,
Lemna,genus,Plantae,,,,,,,,
Myriophyllum,genus,Plantae,,,,,,,,
Agnatha,superclass,Fish,,,1,,,,,
Osteichthyes,superclass,Fish,,,1,,,,,
Cyanobacteria,phylum_division,Algae,,,,1,,,,
Aves,class,Aves,,,,,,,,
Amphibia,class,Amphibia,,,,,,,,
Annelida,phylum_division,Annelida,,,,,,,,
Echinodermata,phylum_division,Echinodermata,,,,,,,,
Mammalia,class,Mammalia,,,,,,,,
Reptilia,class,Reptilia,,,,,,,,
Mollusca,phylum_division,Mollusca,,,,,,,,
Protozoa,phylum_division,Protozoa,,,,,,,,
Rotifera,phylum_division,Rotifera,,,,,,,,
Crustacea,suphylum_div,Crustacea,,,,,,,,
Daphnia,genus,Daphnia,,,,,,,,
Chironomidae,family,Chironomidae,,,,,,,,
Cnidaria,phylum_division,Cnidaria,,,,,,,,
Platyhelminthes,phylum_division,Platyhelminthes,,,,,,,,
Anthozoa,class,Anthozoa,,,,,,,,
Ciliophora,phylum_division,Ciliophora,,,,,,,,
Filicopsida,class,Filicopsida,,,,,,,,
Oomycetes,class,Oomycetes,,,,,,,,
Myzozoa,phylum_division,Myzozoa,,,,,,,,
Apicomplexa,phylum_division,Apicomplexa,,,,,,,,
Sarcomastigophora,phylum_division,Sarcomastigophora,,,,,,,,
Dinophyceae,class,Algae,,,,,,,,
