conc1_unit,u1,u2,u3,u4,n,u1cl,u2cl,u3cl,u4cl,u1num,u2num,u3num,u4num,nas,conc1_info,u1type,u2type,u3type,u4type,conc1_unit_clean,type,convert,multiplier,unit_conv
ug/L,ug,l,,,251751,ug,l,,,,,,,2,,mass,volume,,,ug/l,mass/volume,TRUE,1,ug/l
mg/L,mg,l,,,111140,mg,l,,,,,,,2,,mass,volume,,,mg/l,mass/volume,TRUE,1000,ug/l
ppm,ppm,,,,80745,ppm,,,,,,,,3,,fraction,,,,ppm,fraction,TRUE,1,ppm
AI kg/ha,kg,ha,,,36878,kg,ha,,,,,,,2,,mass,area,,,kg/ha,mass/area,TRUE,0.1,g/m2
kg/ha,kg,ha,,,28603,kg,ha,,,,,,,2,,mass,area,,,kg/ha,mass/area,TRUE,0.1,g/m2
mg/kg,mg,kg,,,27487,mg,kg,,,,,,,2,,mass,mass,,,mg/kg,mass/mass,TRUE,1e-06,g/g
AI lb/acre,lb,acre,,,26365,lb,acre,,,,,,,2,,mass,area,,,lb/acre,mass/area,TRUE,0.112084667279431,g/m2
uM,umol,l,,,24769,umol,l,,,,,,,2,,mol,volume,,,umol/l,mol/volume,TRUE,1e-06,mol/l
%,%,,,,20701,%,,,,,,,,3,,percentage,,,,%,percentage,FALSE,,
mg/kg bdwt,mg,kg,,,16074,mg,kg,,,,,,,2,bdwt,mass,mass,,,mg/kg,mass/mass,TRUE,1e-06,g/g
AI g/ha,g,ha,,,15374,g,ha,,,,,,,2,,mass,area,,,g/ha,mass/area,TRUE,1e-04,g/m2
ppb,ppb,,,,14050,ppb,,,,,,,,3,,fraction,,,,ppb,fraction,TRUE,0.001,ppm
AI mg/L,mg,l,,,11037,mg,l,,,,,,,2,,mass,volume,,,mg/l,mass/volume,TRUE,1000,ug/l
mg/kg bdwt/d,mg,kg ,d,,10827,mg,kg,d,,,,,,1,bdwt,mass,mass,time,,mg/kg/d,mass/mass/time,FALSE,,
ng/L,ng,l,,,10588,ng,l,,,,,,,2,,mass,volume,,,ng/l,mass/volume,TRUE,0.001,ug/l
mM,mmol,l,,,10381,mmol,l,,,,,,,2,,mol,volume,,,mmol/l,mol/volume,TRUE,0.001,mol/l
