"unit","unit_si","prefix","word","multiplier","conv","unit_conv","unit_conv_si","type","remove","source"
"ag","TRUE","atto","gram",1E-18,"TRUE","g","TRUE","mass","FALSE",
"fg","TRUE","femto","gram",1E-15,"TRUE","g","TRUE","mass","FALSE",
"pg","TRUE","pico","gram",1E-12,"TRUE","g","TRUE","mass","FALSE",
"ng","TRUE","nano","gram",1E-09,"TRUE","g","TRUE","mass","FALSE",
"ug","TRUE","micro","gram",1E-06,"TRUE","g","TRUE","mass","FALSE",
"mg","TRUE","milli","gram",0.001,"TRUE","g","TRUE","mass","FALSE",
"g","TRUE","one","gram",1,"TRUE","g","TRUE","mass","FALSE",
"kg","TRUE","kilo","gram",1000,"TRUE","g","TRUE","mass","FALSE",
"t","FALSE","one","ton",1000000,"TRUE","g","TRUE","mass","FALSE",
"ton","FALSE","one","ton",1000000,"TRUE","g","TRUE","mass","FALSE",
"tons","FALSE","one","ton",1000000,"TRUE","g","TRUE","mass","FALSE",
"quintal","FALSE","one","quintal",100000,"TRUE","g","TRUE","mass","FALSE","https://en.wikipedia.org/wiki/Quintal"
"q","FALSE","one","quintal",100000,"TRUE","g","TRUE","mass","FALSE",
"pl","TRUE","pico","liter",1E-12,"TRUE","l","TRUE","volume","FALSE",
"nl","TRUE","nano","liter",1E-09,"TRUE","l","TRUE","volume","FALSE",
"ul","TRUE","micro","liter",1E-06,"TRUE","l","TRUE","volume","FALSE",
"ml","TRUE","milli","liter",0.001,"TRUE","l","TRUE","volume","FALSE",
"dl","TRUE","deci","liter",0.1,"TRUE","l","TRUE","volume","FALSE",
"l","TRUE","one","liter",1,"TRUE","l","TRUE","volume","FALSE",
"lit","TRUE","one","liter",1,"TRUE","l","TRUE","volume","FALSE",
"hl","TRUE","hecto","liter",100,"TRUE","l","TRUE","volume","FALSE",
"pL","TRUE","pico","liter",1E-12,"TRUE","l","TRUE","volume","FALSE",
"nL","TRUE","nano","liter",1E-09,"TRUE","l","TRUE","volume","FALSE",
"uL","TRUE","micro","liter",1E-06,"TRUE","l","TRUE","volume","FALSE",
"mL","TRUE","milli","liter",0.001,"TRUE","l","TRUE","volume","FALSE",
"dL","TRUE","deci","liter",0.1,"TRUE","l","TRUE","volume","FALSE",
"L","TRUE","one","liter",1,"TRUE","l","TRUE","volume","FALSE",
"hL","TRUE","hecto","liter",100,"TRUE","l","TRUE","volume","FALSE",
"bu","FALSE","one","bushel",36.36872,"TRUE","l","TRUE","volume","FALSE","https://en.wikipedia.org/wiki/Bushel"
"bushel","FALSE","one","bushel",36.36872,"TRUE","l","TRUE","volume","FALSE","https://en.wikipedia.org/wiki/Bushel"
"ppq","FALSE","quadrillion","parts per",1E-06,"TRUE","ppb","FALSE","fraction","FALSE",
"ppt","FALSE","trillion","parts per",0.001,"TRUE","ppb","FALSE","fraction","FALSE",
"ppb","FALSE","billion","parts per",1,"TRUE","ppb","FALSE","fraction","FALSE",
"ppm","FALSE","million","parts per",1000,"TRUE","ppb","FALSE","fraction","FALSE",
"ppm-hour","FALSE","million","parts per",1000,"TRUE","ppb/h","FALSE","fraction","FALSE",
"ppm for 36hr","FALSE","million hour","parts per",27.777777777,"TRUE","ppb/h","FALSE","fraction","FALSE",
"ppmv","FALSE","million","parts per",1000,"TRUE","ppb","FALSE","fraction","FALSE",
"ppmw","FALSE","million","parts per",1000,"TRUE","ppb","FALSE","fraction","FALSE",
"0/00","FALSE","thousand","parts per",1000000,"TRUE","ppb","FALSE","fraction","FALSE",
