parameter_group,id,norman_header,norman1,norman2,nor_variable,app_variable,convert,ep_schema,ep_table,ep_variable,epa3_variable,app_variable_name,,status,edi_table,id2,conversion,remark,example
Source,1,Biotest ID,biotest_id,,1,,,,created,n.a.,biotest_id,,,,,,,,
Source,2,Data Source,data_source,,1,,,,created,data_source,data_source,,,,,,,,
Source,3,Data Source ID,test_id,,1,,,ecotox,tests,test_id,test_id,,,,,,,,
Source,4,Data Source reference ID,reference_number,,1,1,,ecotox,tests,reference_number,reference_number,ref_num,,,,,,,
Source,5,Data protection,data_protection,,1,,,,created,data_protection,data_protection,,,,,,,,
Source,6,Data source link,data_source_link,,1,,,,created,data_source_link,data_source_link,,,,,,,,
Source,7,Editor,editor,,1,,,,created,editor,editor,,,,,,,,
Source,8,Date,date,,1,,,,created,,date,,,,,,,,
Reference,9,Reference type,reference_type,,1,,,,created,reference_type,reference_type,,,,,,,,
Reference,10,NORMAN Reference ID,reference_id_norman,,1,,,ecotox,refs,reference_number,reference_number,,,,,,,,
Reference,11,Title,title,,1,1,,ecotox,refs,title,title,ref_title,,,,,,,
Reference,12,Author(s),author,,1,1,,ecotox,refs,author,author,ref_author,,,,,,,
Reference,13,Year,publication_year,,1,1,,ecotox,refs,publication_year,publication_year,ref_publ_year,,,,,,,
Reference,14,Bibliographic source,source,,1,,,ecotox,refs,source,source,,,,,,,,
Reference,15,Testing Laboratory,testing_lab,,1,,,,created,testing_lab,testing_lab,,,,,,,,
Categorisation,16,Compartment,media_type,,1,,,ecotox,tests,media_type,media_type,,,,,,,,
Categorisation,17,Test type,test_location,,1,,,ecotox,tests,test_location,test_location,tes_location,,,,,,,"LAB, FIELDN"
Categorisation,18,Acute / Chronic,test_type,,1,1,,ecotox,tests,test_type,test_type,tes_type,,,,,,,
Test substance,19,NORMAN Substance ID,norman_substance_id,,1,,,,,norman_substance_id,norman_substance_id,,,todo,,,,,
Test substance,20,NORMAN Substance name,chemical_name,,1,1,,ecotox,chemicals,chemical_name,chemical_name,chemical_name,,,,,,,
Test substance,402,Common chemical name,che_common_name,,,1,,,created,,cname,comp_name,,,,,,,
Test substance,21,CAS Number,casnr,,1,1,,ecotox,tests,test_cas,casnr,casnr,,,,,,,
Test substance,401,CAS Number,cas,,,1,,,created,cas,cas,cas,,,,,,,
Test substance,22,NORMAN EC number,norman_ec,,1,,,,created,norman_ec,norman_ec,,,,,,,,
